method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,0,300,0.3,True,True,False,0.7,0.002166430000215769,4,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,0,300,0.3,True,True,False,0.7,0.0018151019994547823,3,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,0,250,0.25,True,True,False,0.75,0.0022018730005584075,5,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,1,300,0.3,True,True,False,0.7,0.0016743280002629035,3,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,1,300,0.3,True,True,False,0.7,0.0016644430006635957,3,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,1,250,0.25,True,True,False,0.75,0.0014269510002122843,2,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,2,300,0.3,True,True,False,0.7,0.002094092999868735,5,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,2,300,0.3,True,True,False,0.7,0.0018533019992901245,4,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,2,250,0.25,True,True,False,0.75,0.0016187410001293756,3,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,3,300,0.3,True,True,False,0.7,0.0014427169999180478,2,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,3,300,0.3,True,True,False,0.7,0.0014259930003390764,2,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,3,250,0.25,True,True,False,0.75,0.0013680649999514571,2,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,4,300,0.3,True,True,False,0.7,0.0021073249999972177,5,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,4,300,0.3,True,True,False,0.7,0.0019712889998118044,4,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,4,250,0.25,True,True,False,0.75,0.0019295989995953278,4,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,5,300,0.3,True,True,False,0.7,0.0018755769997369498,4,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,5,300,0.3,True,True,False,0.7,0.0018448729997544433,4,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,5,250,0.25,True,True,False,0.75,0.0016392749994338374,3,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,6,300,0.3,True,True,False,0.7,0.0016691840000930824,3,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,6,300,0.3,True,True,False,0.7,0.0016720760004318436,3,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,6,250,0.25,True,True,False,0.75,0.0021868510002605035,5,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,7,300,0.3,True,True,False,0.7,0.002338651000172831,6,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,7,300,0.3,True,True,False,0.7,0.002134586000465788,5,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,7,250,0.25,True,True,False,0.75,0.00211722899985034,5,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,8,300,0.3,True,True,False,0.7,0.0018869390005420428,4,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,8,300,0.3,True,True,False,0.7,0.001635018000342825,3,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,8,250,0.25,True,True,False,0.75,0.001561258000037924,2,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,9,300,0.3,True,True,False,0.7,0.00186433599992597,4,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,9,300,0.3,True,True,False,0.7,0.0018417720002616988,4,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,9,250,0.25,True,True,False,0.75,0.0031647449995944044,9,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,10,300,0.3,True,True,False,0.7,0.0017223520007974003,3,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,10,300,0.3,True,True,False,0.7,0.0016827800000100979,3,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,10,250,0.25,True,True,False,0.75,0.0018667609992917278,4,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,11,300,0.3,True,True,False,0.7,0.00211265799953253,4,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,11,300,0.3,True,True,False,0.7,0.00188873400020384,4,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,11,250,0.25,True,True,False,0.75,0.0033601009999983944,10,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,12,300,0.3,True,True,False,0.7,0.002565150000009453,7,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,12,300,0.3,True,True,False,0.7,0.0022699259998262278,6,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,12,250,0.25,True,True,False,0.75,0.0021119769999131677,5,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,13,300,0.3,True,True,False,0.7,0.002070872999865969,5,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,13,300,0.3,True,True,False,0.7,0.0018515930005378323,4,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,13,250,0.25,True,True,False,0.75,0.004210263000459236,14,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,14,300,0.3,True,True,False,0.7,0.001448592000087956,2,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,14,300,0.3,True,True,False,0.7,0.0014261960004660068,2,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,14,250,0.25,True,True,False,0.75,0.0017342740002277424,3,aware-pipeline
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,15,300,0.3,True,True,False,0.7,0.0020026580004923744,4,uniform
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,15,300,0.3,True,True,False,0.7,0.0016984160001811688,3,aware-same-rate
LDPC,1000,2%,0.018731182795698926,0.019139784946236558,15,250,0.25,True,True,False,0.75,0.0021301569995557657,5,aware-pipeline
