method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant
LDPC,96,1%,0.009125831172123317,0.008385335413416536,0,36,0.375,True,True,False,0.625,0.00019675400017149514,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,1,36,0.375,True,True,False,0.625,0.00010241699965263251,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,2,36,0.375,True,True,False,0.625,7.391599956463324e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,3,36,0.375,True,True,False,0.625,0.00013256800048111472,3,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,4,36,0.375,True,True,False,0.625,7.01019998814445e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,5,36,0.375,True,True,False,0.625,6.785400000808295e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,6,36,0.375,True,True,False,0.625,6.639000002905959e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,7,36,0.375,True,True,False,0.625,6.650799969065702e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,8,36,0.375,True,True,False,0.625,7.236799956444884e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,9,36,0.375,True,True,False,0.625,6.729199958499521e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,10,36,0.375,True,True,False,0.625,6.533100076921983e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,11,36,0.375,True,True,False,0.625,6.395099990186282e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,12,36,0.375,True,True,False,0.625,6.608300009247614e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,13,36,0.375,True,True,False,0.625,6.585800019820454e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,14,36,0.375,True,True,False,0.625,6.588099950022297e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,15,36,0.375,True,True,False,0.625,6.48240002192324e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,16,36,0.375,True,True,False,0.625,6.418999964807881e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,17,36,0.375,True,True,False,0.625,6.396599928848445e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,18,36,0.375,True,True,False,0.625,6.382399988069665e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,19,36,0.375,True,True,False,0.625,6.368199956341414e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,20,36,0.375,True,True,False,0.625,6.492699958471349e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,21,36,0.375,True,True,False,0.625,7.071499931043945e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,22,36,0.375,True,True,False,0.625,6.58369999655406e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,23,36,0.375,True,True,False,0.625,0.0001658080000197515,3,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,24,36,0.375,True,True,False,0.625,7.597199964948231e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,25,36,0.375,True,True,False,0.625,6.576899977517314e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,26,36,0.375,True,True,False,0.625,6.495799971162342e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,27,36,0.375,True,True,False,0.625,6.375599969032919e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,28,36,0.375,True,True,False,0.625,6.384900007105898e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,29,36,0.375,True,True,False,0.625,6.320400007098215e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,30,36,0.375,True,True,False,0.625,0.0001256100003956817,3,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,31,36,0.375,True,True,False,0.625,6.69920000291313e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,32,36,0.375,True,True,False,0.625,7.279599958565086e-05,1,aware
LDPC,96,1%,0.009125831172123317,0.008385335413416536,33,36,0.375,True,True,False,0.625,6.6298999627179e-05,1,aware
