method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,192,1%,0.009699942551593089,0.01082753286929621,0,72,0.375,True,True,False,0.625,0.00027219099956710124,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,0,33,0.171875,False,False,False,0.0,0.34656973099936295,2000000
LDPC,192,1%,0.009699942551593089,0.01082753286929621,1,72,0.375,True,True,False,0.625,0.00021708999975089682,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,1,33,0.171875,True,True,False,0.828125,2.8096999812987633e-05,1
LDPC,192,1%,0.009699942551593089,0.01082753286929621,2,72,0.375,True,True,False,0.625,0.000125247000141826,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,2,33,0.171875,True,True,False,0.828125,3.989200013165828e-05,112
LDPC,192,1%,0.009699942551593089,0.01082753286929621,3,72,0.375,True,True,False,0.625,0.00011965600060648285,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,3,33,0.171875,True,True,False,0.828125,0.03144768899983319,179843
LDPC,192,1%,0.009699942551593089,0.01082753286929621,4,72,0.375,True,True,False,0.625,0.0001471209998271661,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,4,33,0.171875,True,True,False,0.828125,4.290300057618879e-05,71
LDPC,192,1%,0.009699942551593089,0.01082753286929621,5,72,0.375,True,True,False,0.625,0.0001980639999601408,3
GRAND,192,1%,0.009699942551593089,0.01082753286929621,5,33,0.171875,True,True,False,0.828125,0.2186431560003257,1255709
LDPC,192,1%,0.009699942551593089,0.01082753286929621,6,72,0.375,True,True,False,0.625,0.0002037190006376477,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,6,33,0.171875,True,True,False,0.828125,0.00010869200013985392,341
LDPC,192,1%,0.009699942551593089,0.01082753286929621,7,72,0.375,True,True,False,0.625,0.00011929500033147633,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,7,33,0.171875,True,True,False,0.828125,0.003173460999278177,18087
LDPC,192,1%,0.009699942551593089,0.01082753286929621,8,72,0.375,True,True,False,0.625,0.0001294069998039049,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,8,33,0.171875,True,True,False,0.828125,4.769600036524935e-05,186
LDPC,192,1%,0.009699942551593089,0.01082753286929621,9,72,0.375,True,True,False,0.625,0.00010842700066859834,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,9,33,0.171875,True,True,False,0.828125,2.8307999855314847e-05,73
LDPC,192,1%,0.009699942551593089,0.01082753286929621,10,72,0.375,True,True,False,0.625,0.00010944499990728218,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,10,33,0.171875,True,True,False,0.828125,4.5572999624710064e-05,167
LDPC,192,1%,0.009699942551593089,0.01082753286929621,11,72,0.375,True,True,False,0.625,0.00019631499981187517,3
GRAND,192,1%,0.009699942551593089,0.01082753286929621,11,33,0.171875,True,True,False,0.828125,0.002701968000110355,15612
LDPC,192,1%,0.009699942551593089,0.01082753286929621,12,72,0.375,True,True,False,0.625,0.00012980900010006735,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,12,33,0.171875,True,True,False,0.828125,4.6550000661227386e-05,178
LDPC,192,1%,0.009699942551593089,0.01082753286929621,13,72,0.375,True,True,False,0.625,0.00010870599999179831,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,13,33,0.171875,True,True,False,0.828125,1.3732999832427595e-05,1
LDPC,192,1%,0.009699942551593089,0.01082753286929621,14,72,0.375,True,True,False,0.625,0.00010558399935689522,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,14,33,0.171875,True,True,False,0.828125,1.5034000170999207e-05,1
LDPC,192,1%,0.009699942551593089,0.01082753286929621,15,72,0.375,True,True,False,0.625,0.00012845400033256738,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,15,33,0.171875,True,True,False,0.828125,0.09286181700008456,537009
LDPC,192,1%,0.009699942551593089,0.01082753286929621,16,72,0.375,True,True,False,0.625,0.0001439990001017577,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,16,33,0.171875,True,True,False,0.828125,4.545700085145654e-05,88
LDPC,192,1%,0.009699942551593089,0.01082753286929621,17,72,0.375,True,True,False,0.625,0.00010872700022446224,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,17,33,0.171875,True,True,False,0.828125,3.075200038438197e-05,85
LDPC,192,1%,0.009699942551593089,0.01082753286929621,18,72,0.375,True,True,False,0.625,0.00010715000007621711,1
GRAND,192,1%,0.009699942551593089,0.01082753286929621,18,33,0.171875,True,True,False,0.828125,0.001323294000030728,7470
