method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,pool,code_seed
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,0,500,0.5,True,True,False,0.5,0.008752460998948663,21,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,0,500,0.5,True,True,False,0.5,0.006637685000896454,16,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,0,600,0.6,True,True,False,0.4,0.004909513001621235,9,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,0,500,0.5,True,True,False,0.5,0.004504840999288717,9,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,1,500,0.5,True,True,False,0.5,0.009594548999302788,25,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,1,500,0.5,True,True,False,0.5,0.004460879999896861,9,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,1,600,0.6,True,True,False,0.4,0.0036294940000516362,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,1,500,0.5,True,True,False,0.5,0.00386585599881073,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,2,500,0.5,True,True,False,0.5,0.004168195999227464,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,2,500,0.5,True,True,False,0.5,0.003225936001399532,5,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,2,600,0.6,True,True,False,0.4,0.0032758899997133994,4,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,2,500,0.5,True,True,False,0.5,0.0032844930010469398,5,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,3,500,0.5,False,False,False,0.0,0.03850463500020851,120,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,3,500,0.5,True,True,False,0.5,0.01301243899979454,37,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,3,600,0.6,True,True,False,0.4,0.0036203869985911297,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,3,500,0.5,True,True,False,0.5,0.004440001999682863,9,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,4,500,0.5,False,False,False,0.0,0.03871315700052946,120,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,4,500,0.5,True,True,False,0.5,0.005082294001113041,11,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,4,600,0.6,True,True,False,0.4,0.003939072999855853,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,4,500,0.5,True,True,False,0.5,0.004142275000049267,8,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,5,500,0.5,True,True,False,0.5,0.004773253000166733,10,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,5,500,0.5,True,True,False,0.5,0.00403360999916913,7,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,5,600,0.6,True,True,False,0.4,0.0035816190011246363,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,5,500,0.5,True,True,False,0.5,0.0041594159993110225,8,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,6,500,0.5,True,True,False,0.5,0.00424102299984952,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,6,500,0.5,True,True,False,0.5,0.0038427300005423604,7,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,6,600,0.6,True,True,False,0.4,0.0036650109996116953,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,6,500,0.5,True,True,False,0.5,0.003567738000128884,6,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,7,500,0.5,True,True,False,0.5,0.005114474999572849,11,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,7,500,0.5,True,True,False,0.5,0.005549375000555301,12,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,7,600,0.6,True,True,False,0.4,0.0039369429996440886,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,7,500,0.5,True,True,False,0.5,0.004468810999242123,9,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,8,500,0.5,True,True,False,0.5,0.004808966999917175,10,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,8,500,0.5,True,True,False,0.5,0.0035187940011383034,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,8,600,0.6,True,True,False,0.4,0.0036461979998421157,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,8,500,0.5,True,True,False,0.5,0.0041446579998591915,8,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,9,500,0.5,True,True,False,0.5,0.003870254000503337,7,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,9,500,0.5,True,True,False,0.5,0.004129285000090022,8,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,9,600,0.6,True,True,False,0.4,0.003910064999217866,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,9,500,0.5,True,True,False,0.5,0.003870833999826573,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,10,500,0.5,True,True,False,0.5,0.003269064000051003,5,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,10,500,0.5,True,True,False,0.5,0.0029038030006631743,4,aware-pipeline,0,0
