method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant
LDPC,1000,10%,0.10286,0.1052,0,600,0.6,True,True,False,0.4,0.03461059999972349,12,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,1,600,0.6,False,False,False,0.0,0.2851288999991084,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,2,600,0.6,True,True,False,0.4,0.04101059999811696,15,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,3,600,0.6,True,True,False,0.4,0.03170429999954649,12,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,4,600,0.6,True,True,False,0.4,0.019903399999748217,6,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,5,600,0.6,False,False,False,0.0,0.27519349999784026,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,6,600,0.6,True,True,False,0.4,0.025964600001316285,9,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,7,600,0.6,True,True,False,0.4,0.022073899999668356,8,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,8,600,0.6,False,False,False,0.0,0.26447090000147,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,9,600,0.6,True,True,False,0.4,0.12993730000016512,57,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,10,600,0.6,True,True,False,0.4,0.027610199998889584,8,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,11,600,0.6,True,True,False,0.4,0.030252299999119714,10,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,12,600,0.6,True,True,False,0.4,0.03516739999759011,11,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,13,600,0.6,True,True,False,0.4,0.03409370000008494,9,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,14,600,0.6,True,True,False,0.4,0.035487699999066535,10,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,15,600,0.6,False,False,False,0.0,0.2790863999980502,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,16,600,0.6,True,True,False,0.4,0.021484100001543993,7,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,17,600,0.6,True,True,False,0.4,0.028897200001665624,10,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,18,600,0.6,True,True,False,0.4,0.05106639999939944,20,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,19,600,0.6,False,False,False,0.0,0.2563412999988941,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,20,600,0.6,True,True,False,0.4,0.10367269999915152,45,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,21,600,0.6,True,True,False,0.4,0.029644599999301136,12,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,22,600,0.6,True,True,False,0.4,0.03665750000072876,13,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,23,600,0.6,True,True,False,0.4,0.03562389999933657,14,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,24,600,0.6,True,True,False,0.4,0.044993899999099085,18,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,25,600,0.6,True,True,False,0.4,0.03406200000245008,12,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,26,600,0.6,False,False,False,0.0,0.26010089999908814,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,27,600,0.6,False,False,False,0.0,0.255590900000243,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,28,600,0.6,False,False,False,0.0,0.2568009000024176,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,29,600,0.6,True,True,False,0.4,0.026684899999963818,9,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,30,600,0.6,False,False,False,0.0,0.2715059999973164,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,31,600,0.6,False,False,False,0.0,0.2887250000021595,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,32,600,0.6,True,True,False,0.4,0.0649301999983436,21,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,33,600,0.6,True,True,False,0.4,0.037268399999447865,14,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,34,600,0.6,True,True,False,0.4,0.05974019999848679,24,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,35,600,0.6,False,False,False,0.0,0.2712576000012632,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,36,600,0.6,True,True,False,0.4,0.04834660000051372,17,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,37,600,0.6,True,True,False,0.4,0.04306399999768473,14,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,38,600,0.6,False,False,False,0.0,0.27978510000320966,120,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,39,600,0.6,True,True,False,0.4,0.023023300000204472,8,uniform (baseline)
LDPC,1000,10%,0.10286,0.1052,0,600,0.6,True,True,False,0.4,0.02781709999908344,9,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,1,600,0.6,True,True,False,0.4,0.0689254000026267,29,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,2,600,0.6,True,True,False,0.4,0.027941000000282656,9,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,3,600,0.6,True,True,False,0.4,0.0256468000006862,9,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,4,600,0.6,True,True,False,0.4,0.018897699999797624,5,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,5,600,0.6,True,True,False,0.4,0.040720900000451365,15,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,6,600,0.6,True,True,False,0.4,0.02285470000060741,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,7,600,0.6,True,True,False,0.4,0.02164469999843277,6,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,8,600,0.6,True,True,False,0.4,0.0546758000018599,20,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,9,600,0.6,True,True,False,0.4,0.03279430000111461,10,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,10,600,0.6,True,True,False,0.4,0.024264300001959782,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,11,600,0.6,True,True,False,0.4,0.020530400001007365,5,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,12,600,0.6,True,True,False,0.4,0.02191750000201864,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,13,600,0.6,True,True,False,0.4,0.02051469999787514,6,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,14,600,0.6,True,True,False,0.4,0.02517929999885382,8,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,15,600,0.6,True,True,False,0.4,0.03970419999677688,16,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,16,600,0.6,True,True,False,0.4,0.022538299999723677,6,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,17,600,0.6,True,True,False,0.4,0.021432800000184216,5,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,18,600,0.6,True,True,False,0.4,0.03933299999698647,13,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,19,600,0.6,True,True,False,0.4,0.04690839999966556,17,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,20,600,0.6,True,True,False,0.4,0.07647069999802625,29,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,21,600,0.6,True,True,False,0.4,0.021551000001636567,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,22,600,0.6,True,True,False,0.4,0.02761060000193538,8,aware (10% sample)
