method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant
LDPC,160,1%,0.009704415954415955,0.009704415954415955,0,32,0.2,True,True,False,0.8,0.0002842089998011943,2,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,0,32,0.2,True,True,False,0.8,0.00018086199997924268,2,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,0,29,0.18125,True,True,False,0.81875,0.0021692089994758135,12395,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,0,29,0.18125,True,True,False,0.81875,0.001568742998642847,3300,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,1,32,0.2,True,True,False,0.8,0.0001148450010077795,1,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,1,32,0.2,True,True,False,0.8,8.850999984133523e-05,1,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,1,29,0.18125,True,True,False,0.81875,2.1957001081318595e-05,25,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,1,29,0.18125,True,True,False,0.81875,3.521799953887239e-05,14,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,2,32,0.2,True,True,False,0.8,9.582699931343086e-05,1,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,2,32,0.2,True,True,False,0.8,8.663900007377379e-05,1,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,2,29,0.18125,True,True,False,0.81875,3.053399996133521e-05,84,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,2,29,0.18125,True,True,False,0.81875,4.3506999645614997e-05,45,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,3,32,0.2,True,True,False,0.8,0.00018696599909162614,3,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,3,32,0.2,True,True,False,0.8,0.00016397299987147562,3,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,3,29,0.18125,True,True,False,0.81875,0.0012902290000056382,7565,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,3,28,0.175,True,True,False,0.825,0.0008870310011843685,1923,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,4,32,0.2,True,True,False,0.8,0.0001280230007978389,1,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,4,32,0.2,True,True,False,0.8,8.913899910112377e-05,1,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,4,29,0.18125,True,True,False,0.81875,3.060999915760476e-05,73,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,4,28,0.175,True,True,False,0.825,4.20300002588192e-05,35,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,5,32,0.2,True,True,False,0.8,9.655900066718459e-05,1,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,5,32,0.2,True,True,False,0.8,8.328500007337425e-05,1,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,5,29,0.18125,True,True,False,0.81875,3.1486999432672746e-05,97,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,5,28,0.175,True,True,False,0.825,4.1691999285831116e-05,44,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,6,32,0.2,True,True,False,0.8,0.00017499000023235567,3,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,6,32,0.2,True,True,False,0.8,0.00019838899970636703,4,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,6,29,0.18125,True,True,False,0.81875,0.0004644269993150374,2616,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,6,29,0.18125,True,True,False,0.81875,0.0045168630003900034,10550,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,7,32,0.2,True,True,False,0.8,9.901599878503475e-05,1,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,7,32,0.2,True,True,False,0.8,8.440800047537778e-05,1,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,7,29,0.18125,True,True,False,0.81875,2.036200021393597e-05,14,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,7,29,0.18125,True,True,False,0.81875,3.1241999749909155e-05,10,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,8,32,0.2,True,True,False,0.8,0.00012178100041637663,1,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,8,32,0.2,True,True,False,0.8,8.331299977726303e-05,1,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,8,29,0.18125,True,True,False,0.81875,2.7662001230055466e-05,43,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,8,29,0.18125,True,True,False,0.81875,3.622700023697689e-05,27,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,9,32,0.2,True,True,False,0.8,9.891199988487642e-05,1,uniform
LDPC,160,1%,0.009704415954415955,0.009704415954415955,9,32,0.2,True,True,False,0.8,8.588299897382967e-05,1,aware
GRAND,160,1%,0.009704415954415955,0.009704415954415955,9,29,0.18125,True,True,False,0.81875,0.0001579389991093194,851,uniform
GRAND,160,1%,0.009704415954415955,0.009704415954415955,9,28,0.175,True,True,False,0.825,0.0038792229988757754,9173,aware
LDPC,160,1%,0.009704415954415955,0.009704415954415955,10,32,0.2,True,True,False,0.8,0.00011864899897773284,1,uniform
