scheme,depolar_prob,n_sifted,overall_qber,rect_errors,P(bit=1|rect_error),diag_errors,P(bit=1|diag_error)
baseline,0.01,8028,0.006103637269556552,5,1.0,44,0.45454545454545453
baseline,0.02,8028,0.013203786746387643,15,1.0,91,0.5054945054945055
baseline,0.03,8028,0.021674140508221227,30,1.0,144,0.5138888888888888
baseline,0.04,8028,0.028898854010961636,43,1.0,189,0.5132275132275133
baseline,0.06,8028,0.04359740906826109,60,1.0,290,0.5379310344827586
baseline,0.1,8028,0.07336821126058794,88,1.0,501,0.5548902195608783
A,0.01,8028,0.012207274539113104,27,0.5925925925925926,71,0.49295774647887325
A,0.02,8028,0.02466367713004484,62,0.6290322580645161,136,0.5294117647058824
A,0.03,8028,0.036372695565520675,97,0.6804123711340206,195,0.5384615384615384
A,0.04,8028,0.04708520179372197,124,0.6854838709677419,254,0.5275590551181102
A,0.06,8028,0.06988041853512705,175,0.6342857142857142,386,0.5155440414507773
A,0.1,8028,0.11385151968111609,275,0.6181818181818182,639,0.5336463223787168
B,0.01,8028,0.01195814648729447,40,0.4,56,0.35714285714285715
B,0.02,8028,0.024040857000498256,83,0.46987951807228917,110,0.41818181818181815
B,0.03,8028,0.036746387643248626,131,0.5038167938931297,164,0.45121951219512196
B,0.04,8028,0.04733432984554061,163,0.5214723926380368,217,0.4470046082949309
B,0.06,8028,0.07062780269058296,224,0.4955357142857143,343,0.45481049562682213
B,0.1,8028,0.11659192825112108,360,0.4722222222222222,576,0.4826388888888889
C,0.01,8028,0.4952665670154459,1957,0.9810935104752172,2019,0.495789995047053
C,0.02,8028,0.4961385151968112,1964,0.9658859470468432,2019,0.495789995047053
C,0.03,8028,0.49601395117090186,1963,0.9526235354049923,2019,0.495789995047053
C,0.04,8028,0.4965122072745391,1967,0.9410269445856635,2019,0.495789995047053
C,0.06,8028,0.49962630792227203,1992,0.9161646586345381,2019,0.495789995047053
C,0.1,8028,0.5048579970104634,2034,0.8682399213372665,2019,0.495789995047053
