method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,64,2%,0.01913324112494237,0.02120792992162287,0,24,0.375,True,True,False,0.625,0.00019468299979052972,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,0,26,0.40625,True,True,False,0.59375,1.669899938860908e-05,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,1,24,0.375,True,True,False,0.625,8.23540003693779e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,1,26,0.40625,True,True,False,0.59375,1.38810000862577e-05,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,2,24,0.375,True,True,False,0.625,6.483000015578e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,2,26,0.40625,True,True,False,0.59375,2.7653999495669268e-05,49
LDPC,64,2%,0.01913324112494237,0.02120792992162287,3,24,0.375,True,True,False,0.625,6.600599954253994e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,3,26,0.40625,True,True,False,0.59375,1.3150000086170621e-05,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,4,24,0.375,True,True,False,0.625,5.57549992663553e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,4,26,0.40625,True,True,False,0.59375,2.1476000256370753e-05,35
LDPC,64,2%,0.01913324112494237,0.02120792992162287,5,24,0.375,True,True,False,0.625,5.4709999858459923e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,5,26,0.40625,True,True,False,0.59375,1.087100008589914e-05,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,6,24,0.375,False,False,False,0.0,0.003049771999940276,120
GRAND,64,2%,0.01913324112494237,0.02120792992162287,6,26,0.40625,True,True,False,0.59375,0.00025819700022111647,1334
LDPC,64,2%,0.01913324112494237,0.02120792992162287,7,24,0.375,True,True,False,0.625,8.218800030590501e-05,2
GRAND,64,2%,0.01913324112494237,0.02120792992162287,7,26,0.40625,True,True,False,0.59375,9.358599982078886e-05,462
LDPC,64,2%,0.01913324112494237,0.02120792992162287,8,24,0.375,True,True,False,0.625,4.694600011134753e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,8,26,0.40625,True,True,False,0.59375,9.44499970501056e-06,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,9,24,0.375,False,False,False,0.0,0.002761298000223178,120
GRAND,64,2%,0.01913324112494237,0.02120792992162287,9,26,0.40625,True,True,False,0.59375,0.005691771999408957,34021
LDPC,64,2%,0.01913324112494237,0.02120792992162287,10,24,0.375,True,True,False,0.625,6.21939998382004e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,10,26,0.40625,True,True,False,0.59375,1.484200038248673e-05,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,11,24,0.375,True,True,False,0.625,4.508700021688128e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,11,26,0.40625,True,True,False,0.59375,8.927999260777142e-06,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,12,24,0.375,True,True,False,0.625,4.422900019562803e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,12,26,0.40625,True,True,False,0.59375,8.885000170266721e-06,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,13,24,0.375,True,True,False,0.625,0.00016119300016725902,6
GRAND,64,2%,0.01913324112494237,0.02120792992162287,13,26,0.40625,True,True,False,0.59375,0.005204666999816254,30897
LDPC,64,2%,0.01913324112494237,0.02120792992162287,14,24,0.375,True,True,False,0.625,8.206300026358804e-05,2
GRAND,64,2%,0.01913324112494237,0.02120792992162287,14,26,0.40625,True,True,False,0.59375,6.135300009191269e-05,297
LDPC,64,2%,0.01913324112494237,0.02120792992162287,15,24,0.375,True,True,False,0.625,4.618500042852247e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,15,26,0.40625,True,True,False,0.59375,1.7329000002064276e-05,38
LDPC,64,2%,0.01913324112494237,0.02120792992162287,16,24,0.375,True,True,False,0.625,4.353700023784768e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,16,26,0.40625,True,True,False,0.59375,1.1823000022559427e-05,9
LDPC,64,2%,0.01913324112494237,0.02120792992162287,17,24,0.375,True,True,False,0.625,4.2577999920467846e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,17,26,0.40625,True,True,False,0.59375,1.937100023496896e-05,57
LDPC,64,2%,0.01913324112494237,0.02120792992162287,18,24,0.375,True,True,False,0.625,4.1852999856928363e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,18,26,0.40625,True,True,False,0.59375,8.867999895301182e-06,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,19,24,0.375,True,False,True,0.0,4.1526000131852925e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,19,26,0.40625,True,True,False,0.59375,0.00026297200020053424,1473
LDPC,64,2%,0.01913324112494237,0.02120792992162287,20,24,0.375,True,True,False,0.625,9.412300005351426e-05,3
GRAND,64,2%,0.01913324112494237,0.02120792992162287,20,26,0.40625,True,True,False,0.59375,5.0658999498409685e-05,244
LDPC,64,2%,0.01913324112494237,0.02120792992162287,21,24,0.375,True,True,False,0.625,4.278899996279506e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,21,26,0.40625,True,True,False,0.59375,9.05900014913641e-06,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,22,24,0.375,True,True,False,0.625,4.244299998390488e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,22,26,0.40625,True,True,False,0.59375,1.2174000403319951e-05,12
LDPC,64,2%,0.01913324112494237,0.02120792992162287,23,24,0.375,True,True,False,0.625,4.267700023774523e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,23,26,0.40625,True,True,False,0.59375,1.5494999388465658e-05,35
LDPC,64,2%,0.01913324112494237,0.02120792992162287,24,24,0.375,True,True,False,0.625,9.114699969359208e-05,3
GRAND,64,2%,0.01913324112494237,0.02120792992162287,24,26,0.40625,True,True,False,0.59375,0.00028112200016039424,1613
LDPC,64,2%,0.01913324112494237,0.02120792992162287,25,24,0.375,True,True,False,0.625,4.3553999603318516e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,25,26,0.40625,True,True,False,0.59375,9.192999641527422e-06,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,26,24,0.375,False,False,False,0.0,0.0026917950008282787,120
GRAND,64,2%,0.01913324112494237,0.02120792992162287,26,26,0.40625,True,True,False,0.59375,0.0027547230001800926,16527
LDPC,64,2%,0.01913324112494237,0.02120792992162287,27,24,0.375,True,True,False,0.625,4.735099992103642e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,27,26,0.40625,True,True,False,0.59375,9.03899945114972e-06,1
LDPC,64,2%,0.01913324112494237,0.02120792992162287,28,24,0.375,True,True,False,0.625,4.2971000766556244e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,28,26,0.40625,True,True,False,0.59375,1.3223999303590972e-05,19
LDPC,64,2%,0.01913324112494237,0.02120792992162287,29,24,0.375,True,True,False,0.625,4.387500030134106e-05,1
GRAND,64,2%,0.01913324112494237,0.02120792992162287,29,26,0.40625,True,True,False,0.59375,9.000999853014946e-06,1
LDPC,200,2%,0.01913324112494237,0.02120792992162287,0,75,0.375,True,True,False,0.625,0.00021810899943375262,3
GRAND,200,2%,0.01913324112494237,0.02120792992162287,0,46,0.23,False,False,False,0.0,0.3333076840008289,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,1,75,0.375,True,True,False,0.625,0.00025624299996707123,3
GRAND,200,2%,0.01913324112494237,0.02120792992162287,1,46,0.23,False,False,False,0.0,0.33202040800006216,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,2,75,0.375,True,True,False,0.625,0.000162832000569324,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,2,46,0.23,True,True,False,0.77,0.030677912999635737,183644
LDPC,200,2%,0.01913324112494237,0.02120792992162287,3,75,0.375,True,True,False,0.625,0.00036855400048807496,7
GRAND,200,2%,0.01913324112494237,0.02120792992162287,3,46,0.23,False,False,False,0.0,0.333171250000305,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,4,75,0.375,True,True,False,0.625,0.00021463499979290646,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,4,46,0.23,False,False,False,0.0,0.3320253540005069,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,5,75,0.375,True,True,False,0.625,0.00015622600039932877,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,5,46,0.23,True,True,False,0.77,0.21777513300003193,1302942
LDPC,200,2%,0.01913324112494237,0.02120792992162287,6,75,0.375,True,True,False,0.625,0.00021111499972903403,2
GRAND,200,2%,0.01913324112494237,0.02120792992162287,6,46,0.23,True,True,False,0.77,0.10672565100048814,637214
LDPC,200,2%,0.01913324112494237,0.02120792992162287,7,75,0.375,True,True,False,0.625,0.0003075240001635393,5
GRAND,200,2%,0.01913324112494237,0.02120792992162287,7,46,0.23,False,False,False,0.0,0.3322306420004679,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,8,75,0.375,True,True,False,0.625,0.000141443999382318,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,8,46,0.23,True,True,False,0.77,0.08014618100060034,479645
LDPC,200,2%,0.01913324112494237,0.02120792992162287,9,75,0.375,True,True,False,0.625,0.0003216459999748622,5
GRAND,200,2%,0.01913324112494237,0.02120792992162287,9,46,0.23,False,False,False,0.0,0.3326722100000552,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,10,75,0.375,True,True,False,0.625,0.00014546100010193186,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,10,46,0.23,False,False,False,0.0,0.35487817699959123,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,11,75,0.375,True,True,False,0.625,0.0002739229994404013,3
GRAND,200,2%,0.01913324112494237,0.02120792992162287,11,46,0.23,False,False,False,0.0,0.33801204900009907,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,12,75,0.375,True,True,False,0.625,0.00020320899966463912,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,12,46,0.23,True,True,False,0.77,0.1126508269999249,674318
LDPC,200,2%,0.01913324112494237,0.02120792992162287,13,75,0.375,True,True,False,0.625,0.000184100000296894,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,13,46,0.23,True,True,False,0.77,0.0018808340000759927,11036
LDPC,200,2%,0.01913324112494237,0.02120792992162287,14,75,0.375,True,True,False,0.625,0.0002949399995486601,5
GRAND,200,2%,0.01913324112494237,0.02120792992162287,14,46,0.23,False,False,False,0.0,0.33611370700054977,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,15,75,0.375,True,True,False,0.625,0.000188656999853265,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,15,46,0.23,True,True,False,0.77,0.0026379139999335166,15554
LDPC,200,2%,0.01913324112494237,0.02120792992162287,16,75,0.375,True,True,False,0.625,0.00021337899943318916,3
GRAND,200,2%,0.01913324112494237,0.02120792992162287,16,46,0.23,False,False,False,0.0,0.33587626200005616,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,17,75,0.375,True,True,False,0.625,0.0010573170002317056,22
GRAND,200,2%,0.01913324112494237,0.02120792992162287,17,46,0.23,False,False,False,0.0,0.33316995599943766,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,18,75,0.375,True,True,False,0.625,0.0002225520001957193,2
GRAND,200,2%,0.01913324112494237,0.02120792992162287,18,46,0.23,False,False,False,0.0,0.33411891299965646,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,19,75,0.375,True,True,False,0.625,0.0004653819996747188,8
GRAND,200,2%,0.01913324112494237,0.02120792992162287,19,46,0.23,False,False,False,0.0,0.33368891699956293,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,20,75,0.375,True,True,False,0.625,0.0001788869994925335,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,20,46,0.23,True,True,False,0.77,5.490100011229515e-05,68
LDPC,200,2%,0.01913324112494237,0.02120792992162287,21,75,0.375,True,True,False,0.625,0.0001232900003742543,1
GRAND,200,2%,0.01913324112494237,0.02120792992162287,21,46,0.23,True,True,False,0.77,0.06354462299987063,382938
LDPC,200,2%,0.01913324112494237,0.02120792992162287,22,75,0.375,True,True,False,0.625,0.0001905089993670117,2
GRAND,200,2%,0.01913324112494237,0.02120792992162287,22,46,0.23,False,False,False,0.0,0.332611562999773,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,23,75,0.375,True,True,False,0.625,0.00026366099973529344,4
GRAND,200,2%,0.01913324112494237,0.02120792992162287,23,46,0.23,False,False,False,0.0,0.3330715219999547,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,24,75,0.375,True,True,False,0.625,0.00033801399968069745,4
GRAND,200,2%,0.01913324112494237,0.02120792992162287,24,46,0.23,False,False,False,0.0,0.3391661519999616,2000000
LDPC,200,2%,0.01913324112494237,0.02120792992162287,25,75,0.375,True,True,False,0.625,0.0002117849999194732,1
