method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,16,1%,0.009229349330872173,0.009615384615384616,0,3,0.1875,True,True,False,0.8125,0.00023089699971023947,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,0,16,1.0,True,True,False,0.0,2.599500021460699e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,1,3,0.1875,True,True,False,0.8125,8.97960007932852e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,1,16,1.0,True,True,False,0.0,1.3914999726694077e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,2,3,0.1875,False,False,False,0.0,0.0036496089996944647,120
GRAND,16,1%,0.009229349330872173,0.009615384615384616,2,16,1.0,True,True,False,0.0,2.2864000129629858e-05,4
LDPC,16,1%,0.009229349330872173,0.009615384615384616,3,3,0.1875,True,True,False,0.8125,6.318699979601661e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,3,16,1.0,True,True,False,0.0,1.2713000614894554e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,4,3,0.1875,True,True,False,0.8125,5.798999973194441e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,4,16,1.0,True,True,False,0.0,1.2745000276481733e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,5,3,0.1875,True,False,True,0.0,5.975600015517557e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,5,16,1.0,True,True,False,0.0,2.5721000383782666e-05,21
LDPC,16,1%,0.009229349330872173,0.009615384615384616,6,3,0.1875,True,True,False,0.8125,5.983599930914352e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,6,16,1.0,True,True,False,0.0,1.2618999789992813e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,7,3,0.1875,False,False,False,0.0,0.003631868999946164,120
GRAND,16,1%,0.009229349330872173,0.009615384615384616,7,16,1.0,True,True,False,0.0,1.968200012925081e-05,8
LDPC,16,1%,0.009229349330872173,0.009615384615384616,8,3,0.1875,True,True,False,0.8125,5.8151999837718904e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,8,16,1.0,True,True,False,0.0,1.2159999641880859e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,9,3,0.1875,True,True,False,0.8125,5.610700009128777e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,9,16,1.0,True,True,False,0.0,1.1718000678229146e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,10,3,0.1875,True,True,False,0.8125,6.077699981688056e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,10,16,1.0,True,True,False,0.0,1.1633999747573398e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,11,3,0.1875,True,True,False,0.8125,5.4398000429500826e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,11,16,1.0,True,True,False,0.0,1.1512999662954826e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,12,3,0.1875,True,True,False,0.8125,5.592399975284934e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,12,16,1.0,True,True,False,0.0,1.1395000001357403e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,13,3,0.1875,True,True,False,0.8125,5.510299979505362e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,13,16,1.0,True,True,False,0.0,1.2058999345754273e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,14,3,0.1875,True,True,False,0.8125,5.528800011234125e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,14,16,1.0,True,True,False,0.0,1.195799995912239e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,15,3,0.1875,True,True,False,0.8125,5.5620999773964286e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,15,16,1.0,True,True,False,0.0,1.1827999514935073e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,16,3,0.1875,True,True,False,0.8125,5.657800011249492e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,16,16,1.0,True,True,False,0.0,1.1561000064830296e-05,1
